Run Id,Score
0,1484
1,1404
2,2224
3,1460
4,668
5,1408
6,1616
7,804
8,2096
9,1472
10,3212
11,1292
12,660
13,1220
14,1008
15,2256
16,1680
17,2496
18,3324
19,1664
20,1488
21,3660
22,1312
23,1276
24,3228
25,3260
26,2884
27,1352
28,988
29,920
30,2416
31,2224
32,1572
33,1952
34,668
35,3440
36,1136
37,816
38,2460
39,1820
40,384
41,1788
42,2636
43,732
44,1012
45,1384
46,932
47,1500
48,3248
49,3596
50,1464
51,1868
52,3120
53,1380
54,1308
55,2572
56,3228
57,2896
58,1424
59,2816
60,652
61,1376
62,2632
63,1660
64,3056
65,3100
66,1324
67,900
68,1496
69,1600
70,1552
71,656
72,2652
73,2684
74,1468
75,2496
76,1548
77,1996
78,624
79,2580
80,1008
81,796
82,1044
83,2468
84,2268
85,884
86,720
87,1136
88,3248
89,2256
90,2016
91,2144
92,780
93,2584
94,1440
95,676
96,1460
97,2560
98,2568
99,1552
