Run Id,Score
0,3724
1,3980
2,3336
3,1240
4,2140
5,3372
6,3904
7,3624
8,1556
9,2476
10,2892
11,3724
12,1740
13,5452
14,860
15,1948
16,5464
17,2104
18,1952
19,1564
20,1596
21,3752
22,3624
23,2780
24,1608
25,1720
26,1496
27,1596
28,1820
29,3760
30,1868
31,5268
32,1912
33,3464
34,5464
35,968
36,5496
37,2328
38,3488
39,5392
40,3656
41,3212
42,3228
43,3160
44,4872
45,3068
46,1788
47,1148
48,2252
49,1548
50,1788
51,3228
52,3532
53,2784
54,1564
55,2748
56,1596
57,1676
58,2460
59,708
60,2940
61,2636
62,4364
63,2860
64,3580
65,3964
66,1676
67,1788
68,1880
69,1964
70,5208
71,2620
72,3164
73,5496
74,1912
75,780
76,2072
77,2892
78,2108
79,5328
80,4076
81,1552
82,2500
83,3656
84,1552
85,1324
86,1820
87,2648
88,3336
89,1516
90,2892
91,3612
92,2976
93,2576
94,5512
95,2732
96,3368
97,2568
98,4568
99,2072
