Run Id,Score
0,1388
1,3340
2,1516
3,1452
4,1372
5,3376
6,4252
7,5208
8,5440
9,3192
10,956
11,5512
12,4072
13,2844
14,3960
15,1688
16,1272
17,2748
18,1020
19,1552
20,1660
21,3336
22,2432
23,1520
24,912
25,3340
26,3144
27,1468
28,3256
29,1864
30,1884
31,1544
32,1440
33,2712
34,2204
35,1288
36,1608
37,1420
38,2892
39,944
40,3784
41,1564
42,4104
43,2252
44,1912
45,1500
46,1564
47,4956
48,944
49,2636
50,1672
51,1104
52,1156
53,4296
54,796
55,1548
56,2876
57,2976
58,3080
59,2744
60,5492
61,1856
62,720
63,2888
64,1452
65,2220
66,1280
67,1552
68,956
69,720
70,1696
71,1052
72,1532
73,1944
74,1548
75,988
76,500
77,788
78,1068
79,1120
80,3404
81,496
82,924
83,3976
84,1368
85,1068
86,1224
87,3036
88,2140
89,1596
90,1276
91,3388
92,1560
93,1672
94,3544
95,3788
96,2440
97,2776
98,3352
99,784
