Run Id,Score
0,1240
1,1472
2,1456
3,736
4,344
5,1104
6,780
7,1096
8,720
9,564
10,2416
11,816
12,1408
13,1148
14,1424
15,1424
16,868
17,752
18,656
19,940
20,2444
21,556
22,680
23,692
24,1824
25,1388
26,392
27,1412
28,972
29,644
30,1060
31,1116
32,1084
33,672
34,704
35,1064
36,784
37,1248
38,788
39,1696
40,1364
41,1056
42,1380
43,916
44,800
45,1536
46,832
47,836
48,692
49,1108
50,780
51,656
52,616
53,384
54,708
55,2596
56,1372
57,1088
58,820
59,1064
60,1008
61,748
62,1580
63,1828
64,276
65,784
66,664
67,792
68,892
69,572
70,660
71,788
72,440
73,1204
74,2408
75,588
76,3056
77,1352
78,1368
79,1344
80,368
81,784
82,936
83,660
84,1288
85,1948
86,1632
87,1136
88,184
89,564
90,976
91,628
92,720
93,1668
94,2212
95,972
96,1424
97,1188
98,1408
99,748
