Run Id,Score
0,3168
1,2404
2,1136
3,964
4,2972
5,1376
6,964
7,1400
8,2808
9,740
10,596
11,1312
12,788
13,3176
14,2836
15,1344
16,3196
17,3208
18,1348
19,4784
20,2096
21,1044
22,1420
23,1572
24,5080
25,1680
26,3512
27,1372
28,2652
29,3304
30,3016
31,3168
32,1620
33,1816
34,3212
35,3036
36,2688
37,1472
38,1240
39,1328
40,1192
41,2272
42,852
43,3160
44,1396
45,2580
46,2496
47,1992
48,1536
49,2752
50,2220
51,3104
52,864
53,2332
54,648
55,1348
56,984
57,2492
58,2012
59,736
60,5088
61,1144
62,1324
63,1396
64,2084
65,2324
66,1528
67,3020
68,1316
69,1220
70,2460
71,756
72,2796
73,4540
74,1184
75,1100
76,2288
77,3188
78,2392
79,1068
80,1084
81,2916
82,1304
83,1580
84,3052
85,2928
86,3116
87,1192
88,3280
89,2356
90,2148
91,2448
92,2320
93,1868
94,1084
95,1400
96,3132
97,2664
98,2596
99,5032
