Run Id,Score
0,700
1,1208
2,1616
3,2884
4,704
5,1220
6,1344
7,2836
8,1504
9,1976
10,1544
11,1000
12,1364
13,3188
14,1364
15,804
16,1316
17,1004
18,748
19,1168
20,1216
21,2388
22,3040
23,688
24,1192
25,1920
26,2424
27,652
28,1484
29,1260
30,2764
31,2844
32,2864
33,1660
34,1532
35,1552
36,1364
37,2560
38,2064
39,1512
40,1068
41,1344
42,2624
43,712
44,1412
45,1288
46,672
47,1236
48,2828
49,1384
50,1408
51,1388
52,768
53,764
54,2508
55,1440
56,1360
57,1284
58,500
59,2428
60,2356
61,1700
62,2832
63,632
64,1100
65,2880
66,2524
67,2428
68,1396
69,748
70,1100
71,1436
72,2688
73,1316
74,2224
75,1380
76,1088
77,2576
78,1076
79,720
80,1484
81,928
82,2228
83,1344
84,500
85,2388
86,2392
87,640
88,1680
89,3088
90,920
91,1460
92,836
93,1456
94,1812
95,632
96,616
97,2052
98,2116
99,1348
