Run Id,Score
0,1040
1,4388
2,696
3,784
4,1408
5,1504
6,1188
7,1256
8,884
9,1428
10,2416
11,2384
12,960
13,1584
14,1420
15,1396
16,1420
17,1376
18,496
19,1140
20,1508
21,1400
22,2028
23,688
24,592
25,1220
26,1288
27,1452
28,892
29,1224
30,772
31,1472
32,756
33,1504
34,1076
35,1396
36,844
37,1136
38,888
39,1568
40,428
41,736
42,1312
43,728
44,1364
45,1472
46,1360
47,1060
48,1380
49,1100
50,1624
51,2448
52,1328
53,1088
54,1140
55,1064
56,1104
57,1488
58,2132
59,1664
60,520
61,1376
62,1036
63,1500
64,1376
65,1316
66,984
67,676
68,1976
69,576
70,520
71,664
72,1172
73,1396
74,1228
75,596
76,1432
77,660
78,672
79,1468
80,1556
81,992
82,1396
83,564
84,1120
85,1284
86,3988
87,1388
88,376
89,760
90,636
91,324
92,628
93,2356
94,1388
95,984
96,436
97,732
98,1456
99,1200
