Move,Score
1,0
2,4
3,4
4,8
5,20
6,20
7,20
8,24
9,24
10,24
11,24
12,32
13,40
14,56
15,68
16,68
17,68
18,68
19,76
20,84
21,104
22,144
23,144
24,144
25,148
26,156
27,160
28,180
29,188
30,188
31,188
32,196
33,204
34,208
35,216
36,216
37,232
38,268
39,276
40,280
41,280
42,300
43,300
44,308
45,312
46,320
47,324
48,324
49,324
50,328
51,328
52,332
53,340
54,360
55,364
56,364
57,364
58,376
59,388
60,396
61,412
62,432
63,464
64,532
65,532
66,532
67,536
68,536
69,548
70,580
71,648
72,776
73,780
74,784
75,792
76,820
77,820
78,824
79,832
80,836
81,836
82,852
83,892
84,892
85,900
86,904
87,912
88,912
89,924
90,940
91,944
92,952
93,960
94,964
95,980
96,1016
97,1092
98,1092
99,1092
100,1092
101,1092
102,1108
103,1120
104,1120
105,1128
106,1148
107,1156
108,1156
109,1160
110,1164
111,1164
112,1164
113,1176
114,1204
115,1236
116,1236
117,1244
118,1248
119,1248
120,1248
121,1248
122,1268
123,1268
124,1272
125,1280
126,1284
127,1296
128,1308
129,1324
130,1356
131,1356
132,1356
133,1356
134,1356
135,1372
136,1372
137,1376
138,1388
139,1404
140,1436
141,1508
142,1644
143,1904
144,1912
145,1928
146,1928
147,1928
148,1932
149,1932
150,1940
151,1960
152,1968
153,2004
154,2016
155,2020
156,2028
157,2028
158,2028
159,2028
160,2032
161,2032
162,2036
163,2044
164,2064
165,2072
166,2092
167,2092
168,2096
169,2104
170,2124
171,2156
172,2220
173,2224
174,2236
175,2244
176,2244
177,2248
178,2248
179,2256
180,2256
181,2256
182,2256
183,2260
184,2260
185,2264
186,2272
187,2288
188,2292
189,2296
190,2304
191,2324
192,2336
193,2336
194,2336
195,2348
196,2352
197,2360
198,2380
199,2412
200,2480
201,2488
202,2492
203,2500
204,2500
205,2500
206,2508
207,2508
208,2508
209,2512
210,2528
211,2548
212,2596
213,2600
214,2600
215,2600
216,2600
217,2612
218,2636
219,2636
220,2640
221,2648
222,2656
223,2672
224,2704
225,2708
226,2744
227,2744
228,2748
229,2756
230,2776
231,2776
232,2780
233,2780
234,2788
235,2792
236,2804
237,2804
238,2804
