Move,Score
1,0
2,4
3,8
4,16
5,16
6,16
7,16
8,20
9,28
10,32
11,40
12,56
13,60
14,68
15,84
16,88
17,124
18,124
19,136
20,136
21,136
22,148
23,148
24,148
25,152
26,156
27,156
28,160
29,168
30,168
31,184
32,192
33,200
34,200
35,224
36,228
37,240
38,288
39,352
40,352
41,356
42,360
43,360
44,360
45,372
46,380
47,404
48,448
49,448
50,448
51,452
52,456
53,456
54,464
55,464
56,480
57,484
58,496
59,496
60,496
61,496
62,500
63,500
64,512
65,516
66,524
67,544
68,552
69,584
70,652
71,784
72,784
73,788
74,820
75,820
76,840
77,844
78,856
79,888
80,888
81,888
82,892
83,896
84,904
85,908
86,932
87,932
88,932
89,932
90,944
91,952
92,952
93,972
94,1012
95,1076
96,1076
97,1076
98,1080
99,1084
100,1084
101,1088
102,1096
103,1096
104,1096
105,1128
106,1136
107,1136
108,1144
109,1164
110,1196
111,1200
112,1200
113,1208
114,1228
115,1228
116,1240
117,1240
118,1240
119,1244
120,1256
121,1256
122,1260
123,1284
124,1316
125,1380
126,1512
127,1776
128,1780
129,1780
130,1780
131,1784
132,1788
133,1808
134,1824
135,1840
136,1840
137,1844
138,1844
139,1844
140,1848
141,1892
142,1896
143,1904
144,1920
145,1928
146,1944
147,1964
148,1996
149,2060
150,2060
151,2060
152,2072
153,2076
154,2076
155,2076
156,2080
157,2080
158,2080
159,2080
160,2104
161,2132
162,2132
163,2136
164,2144
165,2160
166,2192
167,2192
168,2192
169,2204
170,2212
171,2212
172,2216
173,2216
174,2220
175,2252
176,2268
177,2300
178,2368
179,2376
180,2504
181,2504
182,2508
183,2516
184,2516
185,2540
186,2544
187,2544
188,2544
189,2552
190,2552
191,2564
192,2576
193,2592
194,2624
195,2628
196,2628
197,2628
198,2628
199,2632
200,2644
201,2656
202,2672
203,2672
204,2676
205,2684
206,2704
207,2736
208,2812
209,2812
210,2812
211,2812
212,2816
213,2816
214,2816
215,2820
216,2832
217,2860
218,2860
219,2860
220,2868
221,2876
222,2884
223,2884
224,2900
225,2904
226,2912
227,2916
228,2916
229,2920
230,2928
231,2944
232,2980
233,2984
234,2992
235,2992
236,3000
237,3008
238,3008
239,3028
240,3068
241,3132
242,3276
243,3536
244,3540
245,3548
246,4060
247,4064
248,4064
249,4076
250,4076
251,4096
252,4096
253,4104
254,4108
255,4140
256,4144
257,4156
258,4156
259,4156
260,4160
261,4188
262,4188
263,4192
264,4200
265,4216
266,4252
267,4260
268,4328
269,4328
270,4332
271,4332
272,4336
273,4344
274,4364
275,4368
276,4376
