Move,Score
1,0
2,4
3,4
4,4
5,16
6,16
7,16
8,20
9,20
10,20
11,24
12,36
13,64
14,64
15,64
16,68
17,72
18,80
19,80
20,80
21,108
22,144
23,144
24,144
25,148
26,148
27,152
28,168
29,184
30,184
31,184
32,184
33,184
34,188
35,196
36,200
37,208
38,224
39,260
40,328
41,336
42,340
43,344
44,356
45,372
46,384
47,392
48,396
49,412
50,444
51,448
52,448
53,448
54,460
55,464
56,464
57,464
58,484
59,492
60,496
61,504
62,508
63,516
64,536
65,572
66,636
67,636
68,640
69,640
70,640
71,780
72,780
73,780
74,796
75,796
76,832
77,832
78,836
79,872
80,880
81,884
82,892
83,896
84,896
85,908
86,932
87,948
88,952
89,952
90,988
91,992
92,1068
93,1068
94,1068
95,1068
96,1072
97,1080
98,1080
99,1088
100,1104
101,1112
102,1120
103,1136
104,1176
105,1180
106,1192
107,1208
108,1208
109,1212
110,1216
111,1224
112,1228
113,1236
114,1252
115,1292
116,1356
117,1484
118,1488
119,1492
120,1748
121,1760
122,1760
123,1760
124,1764
125,1764
126,1764
127,1764
128,1764
129,1768
130,1796
131,1812
132,1812
133,1816
134,1828
135,1828
136,1828
137,1828
138,1828
139,1844
140,1880
141,1892
142,1900
143,1900
144,1900
145,1912
146,1932
147,1948
148,1952
149,1956
150,1964
151,1964
152,1968
153,2008
154,2072
155,2076
156,2092
157,2092
158,2096
159,2104
160,2108
161,2112
162,2124
163,2148
164,2180
165,2180
166,2188
167,2196
168,2204
169,2220
170,2224
171,2232
172,2248
173,2288
174,2356
175,2484
176,2488
177,2488
178,2488
179,2488
180,2504
181,2532
182,2532
183,2532
184,2536
185,2548
186,2564
187,2600
188,2600
189,2600
190,2600
191,2612
192,2616
193,2620
194,2628
195,2644
196,2648
197,2648
198,2648
199,2652
200,2652
201,2656
202,2656
203,2660
204,2672
205,2684
206,2684
207,2700
208,2732
209,2808
210,2808
211,2812
212,2812
213,2816
214,2836
215,2852
216,2852
217,2860
218,2884
219,2884
220,2892
221,2896
222,2896
223,2900
224,2900
225,2900
226,2912
227,2916
228,2924
229,2944
230,2976
231,2980
232,2988
233,3004
234,3008
235,3016
236,3020
237,3020
238,3024
239,3056
240,3056
241,3072
242,3096
243,3096
244,3096
245,3100
246,3100
247,3112
248,3128
249,3132
250,3140
251,3140
252,3144
253,3152
254,3168
255,3200
256,3264
257,3396
258,3652
259,4168
260,4172
261,4180
262,4180
263,4184
264,4184
265,4192
266,4220
267,4224
268,4264
269,4344
270,4352
271,4352
272,4360
273,4372
274,4388
275,4388
276,4388
