Move,Score
1,0
2,4
3,4
4,8
5,8
6,20
7,20
8,24
9,24
10,28
11,36
12,56
13,56
14,68
15,68
16,76
17,80
18,80
19,88
20,108
21,108
22,108
23,108
24,148
25,164
26,180
27,184
28,184
29,188
30,200
31,200
32,200
33,220
34,252
35,316
36,328
37,328
38,340
39,340
40,344
41,352
42,368
43,376
44,376
45,376
46,380
47,380
48,380
49,380
50,396
51,408
52,424
53,460
54,468
55,468
56,472
57,496
58,496
59,500
60,504
61,504
62,512
63,532
64,536
65,536
66,536
67,572
68,640
69,768
70,768
71,768
72,788
73,792
74,792
75,800
76,820
77,828
78,832
79,832
80,836
81,844
82,860
83,860
84,864
85,876
86,908
87,912
88,936
89,940
90,948
91,964
92,1000
93,1068
94,1068
95,1068
96,1084
97,1084
98,1092
99,1092
100,1092
101,1112
102,1120
103,1124
104,1124
105,1124
106,1128
107,1132
108,1140
109,1148
110,1148
111,1172
112,1208
113,1216
114,1224
115,1240
116,1244
117,1244
118,1248
119,1252
120,1260
121,1280
122,1320
123,1388
124,1516
125,1772
126,1776
127,1788
128,1788
129,1788
130,1792
131,1792
132,1800
133,1820
134,1824
135,1824
136,1832
137,1832
138,1852
139,1860
140,1860
141,1860
142,1860
143,1864
144,1872
145,1916
146,1936
147,1936
148,1940
149,1940
150,1944
151,1944
152,1944
153,1948
154,1956
155,1960
156,1968
157,1988
158,1992
159,1992
160,2032
161,2100
162,2100
163,2100
164,2120
165,2132
166,2132
167,2144
168,2148
169,2156
170,2172
171,2208
172,2212
173,2212
174,2216
175,2228
176,2244
177,2244
178,2244
179,2252
180,2256
181,2268
182,2268
183,2268
184,2276
185,2296
186,2300
187,2332
188,2332
189,2332
190,2400
191,2540
192,2540
193,2540
194,2540
195,2556
196,2580
197,2584
198,2592
199,2612
200,2644
201,2648
202,2648
203,2652
204,2652
205,2656
206,2664
207,2680
208,2684
209,2696
210,2700
211,2700
212,2708
213,2728
214,2728
215,2728
216,2744
217,2744
218,2748
219,2748
220,2760
221,2776
222,2812
223,2816
224,2888
225,2888
226,2888
227,2892
228,2904
229,2920
230,2964
231,2964
232,2968
233,2976
234,2996
235,2996
236,2996
237,3004
238,3012
239,3020
240,3020
241,3020
242,3020
243,3020
244,3024
245,3036
246,3052
247,3084
248,3148
249,3292
250,3548
251,4060
252,4064
253,4068
254,4084
255,4100
256,4100
257,4104
258,4108
259,4116
260,4132
261,4168
262,4168
263,4176
264,4180
265,4180
266,4180
267,4180
268,4216
269,4224
270,4228
271,4228
272,4232
273,4240
274,4256
275,4292
276,4356
