Move,Score
1,0
2,4
3,4
4,8
5,20
6,20
7,20
8,24
9,24
10,28
11,36
12,40
13,40
14,44
15,44
16,44
17,48
18,60
19,84
20,104
21,144
22,144
23,144
24,148
25,152
26,152
27,156
28,156
29,156
30,160
31,172
32,188
33,188
34,196
35,200
36,212
37,216
38,216
39,236
40,268
41,336
42,352
43,368
44,372
45,372
46,376
47,384
48,388
49,388
50,392
51,392
52,396
53,404
54,404
55,404
56,404
57,404
58,404
59,404
60,408
61,412
62,420
63,436
64,472
65,480
66,484
67,488
68,492
69,500
70,516
71,520
72,520
73,520
74,520
75,520
76,520
77,520
78,532
79,532
80,536
81,540
82,548
83,552
84,556
85,556
86,564
87,584
88,584
89,588
90,596
91,616
92,616
93,620
94,624
95,624
96,628
97,636
98,652
99,688
100,696
101,700
102,708
103,708
104,772
105,776
106,908
107,916
108,936
109,936
110,936
111,940
112,940
113,952
114,960
115,964
116,968
117,972
118,972
119,972
120,972
121,972
122,976
123,984
124,1004
125,1044
126,1044
127,1048
128,1048
129,1052
130,1052
131,1052
132,1052
133,1052
134,1052
135,1084
136,1092
137,1108
138,1148
139,1156
140,1160
141,1160
142,1160
143,1164
144,1164
145,1164
146,1164
147,1168
148,1180
149,1180
150,1180
151,1244
152,1264
153,1304
154,1308
155,1320
156,1332
157,1332
158,1332
159,1332
160,1336
161,1340
162,1348
163,1368
164,1368
165,1372
166,1376
167,1384
168,1400
169,1404
170,1408
171,1416
172,1420
173,1428
174,1428
175,1448
176,1480
177,1480
178,1484
179,1496
180,1504
181,1508
182,1508
183,1512
184,1512
185,1512
186,1512
187,1512
188,1512
189,1512
190,1512
191,1512
192,1512
193,1512
194,1512
195,1512
196,1512
197,1512
198,1512
199,1512
200,1512
201,1512
202,1512
203,1512
204,1512
205,1512
206,1512
207,1512
208,1512
209,1512
210,1512
211,1512
212,1512
213,1512
214,1512
215,1512
216,1512
217,1512
218,1512
219,1512
220,1512
221,1512
222,1512
223,1512
224,1512
225,1512
226,1512
227,1512
228,1512
229,1512
230,1512
231,1512
232,1512
233,1512
234,1512
235,1512
236,1512
237,1512
238,1512
239,1512
240,1512
241,1512
242,1512
243,1512
244,1512
245,1512
246,1512
247,1512
248,1512
249,1512
250,1512
251,1512
252,1512
253,1512
254,1512
255,1512
256,1512
257,1512
258,1512
259,1512
260,1512
261,1512
262,1512
263,1512
264,1512
265,1512
266,1512
267,1512
268,1512
269,1512
270,1512
271,1512
272,1512
273,1512
274,1512
275,1512
276,1512
277,1512
278,1512
279,1512
280,1512
281,1512
282,1512
