Move,Score
1,0
2,4
3,4
4,8
5,16
6,20
7,24
8,32
9,48
10,52
11,52
12,56
13,56
14,60
15,68
16,72
17,72
18,72
19,76
20,84
21,100
22,136
23,144
24,148
25,152
26,152
27,152
28,152
29,156
30,160
31,168
32,168
33,172
34,172
35,172
36,172
37,172
38,172
39,172
40,172
41,176
42,184
43,188
44,196
45,196
46,196
47,216
48,220
49,232
50,248
51,252
52,260
53,280
54,280
55,284
56,284
57,284
58,316
59,384
60,400
61,408
62,408
63,412
64,424
65,448
66,480
67,484
68,488
69,488
70,488
71,492
72,496
73,496
74,504
75,524
76,528
77,536
78,540
79,540
80,544
81,556
82,556
83,556
84,572
85,576
86,584
87,588
88,596
89,612
90,648
91,652
92,652
93,656
94,668
95,668
96,668
97,668
98,672
99,684
100,700
101,732
102,800
103,800
104,804
105,804
106,940
107,944
108,948
109,956
110,956
111,988
112,992
113,1000
114,1016
115,1020
116,1028
117,1028
118,1036
119,1036
120,1040
121,1044
122,1044
123,1048
124,1056
125,1076
126,1116
127,1116
128,1116
129,1116
130,1116
131,1116
132,1116
133,1128
134,1132
135,1144
136,1228
137,1236
138,1236
139,1240
140,1248
141,1268
142,1300
143,1304
144,1304
145,1308
146,1312
147,1312
148,1336
149,1336
150,1336
151,1336
152,1340
153,1352
154,1356
155,1356
156,1364
157,1384
158,1416
159,1420
160,1428
161,1432
162,1432
163,1436
164,1448
165,1448
166,1448
167,1448
168,1464
169,1468
170,1480
171,1496
172,1500
173,1504
174,1504
175,1504
176,1504
177,1504
178,1504
179,1504
180,1504
181,1516
182,1524
183,1528
184,1528
185,1532
186,1536
187,1544
188,1548
189,1552
190,1552
191,1552
192,1552
193,1552
194,1552
195,1552
196,1552
197,1552
198,1552
199,1552
200,1552
201,1552
202,1552
203,1552
204,1552
205,1552
206,1552
207,1552
208,1552
209,1552
210,1552
211,1552
212,1552
213,1552
214,1552
215,1552
216,1552
217,1552
218,1552
219,1552
220,1552
221,1552
222,1552
223,1552
224,1552
225,1552
226,1552
227,1552
228,1552
229,1552
230,1552
231,1552
232,1552
233,1552
234,1552
235,1552
236,1552
237,1552
238,1552
239,1552
240,1552
241,1552
242,1552
243,1552
244,1552
245,1552
246,1552
247,1552
248,1552
249,1552
250,1552
251,1552
252,1552
253,1552
254,1552
255,1552
256,1552
257,1552
258,1552
259,1552
260,1552
261,1552
262,1552
263,1552
264,1552
265,1552
266,1552
267,1552
268,1552
269,1552
270,1552
271,1552
272,1552
273,1552
274,1552
275,1552
276,1552
277,1552
278,1552
279,1552
280,1552
281,1552
282,1552
283,1552
284,1552
285,1552
286,1552
287,1552
288,1552
289,1552
290,1552
291,1552
292,1552
293,1552
294,1552
295,1552
296,1552
297,1552
298,1552
299,1552
300,1552
301,1552
302,1552
303,1552
304,1552
305,1552
306,1552
307,1552
308,1552
309,1552
310,1552
311,1552
312,1552
313,1552
314,1552
315,1552
316,1552
317,1552
318,1552
319,1552
320,1552
321,1552
322,1552
323,1552
324,1552
325,1552
326,1552
327,1552
328,1552
329,1552
330,1552
331,1552
332,1552
333,1552
334,1552
335,1552
336,1552
337,1552
338,1552
339,1552
340,1552
341,1552
342,1552
343,1552
344,1552
345,1552
346,1552
347,1552
348,1552
349,1552
350,1552
351,1552
352,1552
353,1552
354,1552
355,1552
356,1552
357,1552
358,1552
359,1552
360,1552
361,1552
362,1552
363,1552
364,1552
365,1552
366,1552
367,1552
368,1552
369,1552
370,1552
371,1552
372,1552
373,1552
374,1552
375,1552
376,1552
377,1552
378,1552
379,1552
380,1552
381,1552
382,1552
383,1552
384,1552
385,1552
386,1552
387,1552
388,1552
389,1552
390,1552
391,1552
392,1552
393,1552
394,1552
395,1552
396,1552
397,1552
398,1552
399,1552
400,1552
