Move,Score
1,0
2,4
3,4
4,8
5,12
6,20
7,20
8,24
9,24
10,28
11,40
12,48
13,64
14,68
15,68
16,72
17,84
18,100
19,132
20,136
21,136
22,148
23,152
24,152
25,152
26,156
27,164
28,168
29,168
30,172
31,180
32,184
33,184
34,188
35,196
36,200
37,200
38,204
39,204
40,232
41,240
42,244
43,244
44,248
45,248
46,248
47,264
48,280
49,280
50,284
51,288
52,288
53,288
54,288
55,292
56,304
57,312
58,312
59,316
60,320
61,320
62,320
63,352
64,416
65,544
66,548
67,548
68,552
69,564
70,564
71,564
72,568
73,568
74,568
75,572
76,580
77,596
78,600
79,612
80,612
81,616
82,616
83,616
84,620
85,628
86,632
87,636
88,656
89,656
90,660
91,672
92,680
93,680
94,680
95,684
96,688
97,688
98,688
99,700
100,720
101,756
102,764
103,768
104,776
105,780
106,780
107,784
108,792
109,812
110,844
111,848
112,856
113,860
114,860
115,860
116,864
117,876
118,908
119,912
120,912
121,1016
122,1208
123,1212
124,1216
125,1228
126,1236
127,1252
128,1256
129,1268
130,1300
131,1316
132,1320
133,1324
134,1332
135,1332
136,1336
137,1348
138,1348
139,1352
140,1360
141,1364
142,1380
143,1416
144,1480
145,1480
146,1484
147,1492
148,1508
149,1512
150,1516
151,1524
152,1524
153,1528
154,1540
155,1540
156,1544
157,1556
158,1572
159,1604
160,1608
161,1616
162,1620
163,1620
164,1624
165,1624
166,1628
167,1628
168,1640
169,1664
170,1668
171,1668
172,1672
173,1676
174,1676
175,1676
176,1688
177,1704
178,1708
179,1708
180,1708
181,1712
182,1724
183,1736
184,1744
185,1744
186,1764
187,1796
188,1864
189,1876
190,1892
191,1892
192,1896
193,1904
194,1908
195,1912
196,1912
197,1916
198,1924
199,1940
200,1976
201,1988
202,1988
203,1992
204,1992
205,1992
206,1996
207,2004
208,2008
209,2016
210,2036
211,2040
212,2040
213,2040
214,2052
215,2056
216,2056
217,2056
218,2060
219,2068
220,2072
221,2072
222,2072
223,2072
224,2072
225,2072
226,2072
227,2072
228,2072
229,2072
230,2072
231,2072
232,2072
233,2072
234,2072
235,2072
236,2072
237,2072
238,2072
239,2072
240,2072
241,2072
242,2072
243,2072
244,2072
245,2072
246,2072
247,2072
248,2072
249,2072
250,2072
251,2072
252,2072
253,2072
254,2072
255,2072
256,2072
257,2072
258,2072
259,2072
260,2072
261,2072
262,2072
263,2072
264,2072
265,2072
266,2072
267,2072
268,2072
269,2072
270,2072
271,2072
272,2072
273,2072
274,2072
275,2072
276,2072
277,2072
278,2072
279,2072
280,2072
281,2072
282,2072
283,2072
284,2072
285,2072
286,2072
287,2072
288,2072
289,2072
290,2072
291,2072
292,2072
293,2072
294,2072
295,2072
296,2072
297,2072
298,2072
299,2072
300,2072
301,2072
302,2072
303,2072
304,2072
305,2072
306,2072
307,2072
308,2072
309,2072
310,2072
311,2072
312,2072
313,2072
314,2072
315,2072
316,2072
317,2072
318,2072
319,2072
320,2072
321,2072
322,2072
323,2072
324,2072
325,2072
326,2072
327,2072
328,2072
329,2072
330,2072
331,2072
332,2072
333,2072
334,2072
335,2072
336,2072
337,2072
338,2072
339,2072
340,2072
341,2072
342,2072
343,2072
344,2072
345,2072
346,2072
347,2072
348,2072
349,2072
350,2072
351,2072
352,2072
353,2072
354,2072
355,2072
356,2072
357,2072
358,2072
359,2072
360,2072
361,2072
362,2072
363,2072
364,2072
365,2072
366,2072
367,2072
368,2072
369,2072
370,2072
371,2072
372,2072
373,2072
374,2072
375,2072
376,2072
377,2072
378,2072
379,2072
380,2072
381,2072
382,2072
383,2072
384,2072
385,2072
386,2072
387,2072
388,2072
389,2072
390,2072
391,2072
392,2072
393,2072
394,2072
395,2072
396,2072
397,2072
398,2072
399,2072
400,2072
