Move,Score
1,4
2,4
3,8
4,20
5,24
6,28
7,36
8,52
9,64
10,72
11,84
12,84
13,88
14,92
15,96
16,96
17,96
18,112
19,132
20,132
21,132
22,136
23,144
24,148
25,160
26,176
27,176
28,176
29,176
30,176
31,176
32,180
33,224
34,236
35,252
36,256
37,260
38,260
39,260
40,260
41,264
42,272
43,276
44,288
45,288
46,288
47,288
48,308
49,340
50,376
51,380
52,384
53,392
54,392
55,408
56,412
57,416
58,416
59,420
60,420
61,420
62,424
63,464
64,532
65,532
66,532
67,532
68,544
69,544
70,548
71,548
72,552
73,564
74,564
75,564
76,572
77,572
78,576
79,576
80,576
81,576
82,576
83,576
84,576
85,576
86,576
87,576
88,576
89,576
90,596
91,604
92,604
93,604
94,604
95,604
96,604
97,604
98,624
99,660
100,664
101,672
102,672
103,676
104,680
105,680
106,680
107,680
108,680
109,680
110,680
111,700
112,700
113,700
114,704
115,704
116,708
117,716
118,732
119,736
120,744
121,744
122,744
123,744
124,744
125,748
126,748
127,748
128,748
129,748
130,748
131,748
132,748
133,748
134,748
135,748
136,748
137,748
138,748
139,748
140,748
141,748
142,748
143,748
144,748
145,748
146,748
147,748
148,748
149,748
150,748
151,748
152,748
153,748
154,748
155,748
156,748
157,748
158,748
159,748
160,748
161,748
162,748
163,748
164,748
165,748
166,748
167,748
168,748
169,748
170,748
171,748
172,748
173,748
174,748
175,748
176,748
177,748
178,748
179,748
180,748
181,748
182,748
183,748
184,748
185,748
186,748
187,748
188,748
189,748
190,748
191,748
192,748
193,748
194,748
195,748
196,748
197,748
198,748
199,748
200,748
201,748
202,748
203,748
204,748
205,748
206,748
207,748
208,748
209,748
210,748
211,748
212,748
213,748
214,748
215,748
216,748
217,748
218,748
219,748
220,748
221,748
222,748
223,748
224,748
225,748
226,748
227,748
228,748
229,748
230,748
231,748
232,748
233,748
234,748
235,748
236,748
237,748
238,748
239,748
240,748
241,748
242,748
243,748
244,748
245,748
246,748
247,748
248,748
249,748
250,748
251,748
252,748
253,748
254,748
255,748
256,748
257,748
258,748
259,748
260,748
261,748
262,748
263,748
264,748
265,748
266,748
267,748
268,748
269,748
270,748
271,748
272,748
273,748
274,748
275,748
276,748
277,748
278,748
279,748
280,748
281,748
282,748
283,748
284,748
285,748
286,748
287,748
288,748
289,748
290,748
291,748
292,748
293,748
294,748
295,748
296,748
297,748
298,748
299,748
300,748
301,748
302,748
303,748
304,748
305,748
306,748
307,748
308,748
309,748
310,748
311,748
312,748
313,748
314,748
315,748
316,748
317,748
318,748
319,748
320,748
321,748
322,748
323,748
324,748
325,748
326,748
327,748
328,748
329,748
330,748
331,748
332,748
333,748
334,748
335,748
336,748
337,748
338,748
339,748
340,748
341,748
342,748
343,748
344,748
345,748
346,748
347,748
348,748
349,748
350,748
351,748
352,748
353,748
354,748
355,748
356,748
357,748
358,748
359,748
360,748
361,748
362,748
363,748
364,748
365,748
366,748
367,748
368,748
369,748
370,748
371,748
372,748
373,748
374,748
375,748
376,748
377,748
378,748
379,748
380,748
381,748
382,748
383,748
384,748
385,748
386,748
387,748
388,748
389,748
390,748
391,748
392,748
393,748
394,748
395,748
396,748
397,748
398,748
399,748
400,748
