Move,Score
1,4
2,4
3,4
4,4
5,8
6,8
7,8
8,20
9,20
10,20
11,20
12,24
13,32
14,40
15,44
16,44
17,44
18,64
19,76
20,76
21,76
22,76
23,80
24,88
25,92
26,116
27,120
28,124
29,156
30,156
31,156
32,156
33,156
34,156
35,160
36,172
37,176
38,184
39,200
40,204
41,204
42,216
43,232
44,244
45,244
46,244
47,248
48,252
49,252
50,260
51,260
52,264
53,268
54,272
55,280
56,300
57,300
58,300
59,300
60,300
61,332
62,336
63,336
64,348
65,348
66,348
67,368
68,368
69,388
70,388
71,388
72,388
73,388
74,388
75,388
76,388
77,432
78,456
79,460
80,524
81,528
82,540
83,540
84,552
85,552
86,552
87,552
88,552
89,552
90,572
91,572
92,572
93,580
94,580
95,588
96,612
97,612
98,612
99,612
100,612
101,616
102,616
103,620
104,628
105,628
106,628
107,632
108,632
109,636
110,636
111,636
112,640
113,644
114,644
115,652
116,652
117,656
118,668
119,668
120,668
121,668
122,668
123,668
124,668
125,668
126,668
127,668
128,668
129,668
130,668
131,668
132,668
133,668
134,668
135,668
136,668
137,668
138,668
139,668
140,668
141,668
142,668
143,668
144,668
145,668
146,668
147,668
148,668
149,668
150,668
151,668
152,668
153,668
154,668
155,668
156,668
157,668
158,668
159,668
160,668
161,668
162,668
163,668
164,668
165,668
166,668
167,668
168,668
169,668
170,668
171,668
172,668
173,668
174,668
175,668
176,668
177,668
178,668
179,668
180,668
181,668
182,668
183,668
184,668
185,668
186,668
187,668
188,668
189,668
190,668
191,668
192,668
193,668
194,668
195,668
196,668
197,668
198,668
199,668
200,668
201,668
202,668
203,668
204,668
205,668
206,668
207,668
208,668
209,668
210,668
211,668
212,668
213,668
214,668
215,668
216,668
217,668
218,668
219,668
220,668
221,668
222,668
223,668
224,668
225,668
226,668
227,668
228,668
229,668
230,668
231,668
232,668
233,668
234,668
235,668
236,668
237,668
238,668
239,668
240,668
241,668
242,668
243,668
244,668
245,668
246,668
247,668
248,668
249,668
250,668
251,668
252,668
253,668
254,668
255,668
256,668
257,668
258,668
259,668
260,668
261,668
262,668
263,668
264,668
265,668
266,668
267,668
268,668
269,668
270,668
271,668
272,668
273,668
274,668
275,668
276,668
277,668
278,668
279,668
280,668
281,668
282,668
283,668
284,668
285,668
286,668
287,668
288,668
289,668
290,668
291,668
292,668
293,668
294,668
295,668
296,668
297,668
298,668
299,668
300,668
301,668
302,668
303,668
304,668
305,668
306,668
307,668
308,668
309,668
310,668
311,668
312,668
313,668
314,668
315,668
316,668
317,668
318,668
319,668
320,668
321,668
322,668
323,668
324,668
325,668
326,668
327,668
328,668
329,668
330,668
331,668
332,668
333,668
334,668
335,668
336,668
337,668
338,668
339,668
340,668
341,668
342,668
343,668
344,668
345,668
346,668
347,668
348,668
349,668
350,668
351,668
352,668
353,668
354,668
355,668
356,668
357,668
358,668
359,668
360,668
361,668
362,668
363,668
364,668
365,668
366,668
367,668
368,668
369,668
370,668
371,668
372,668
373,668
374,668
375,668
376,668
377,668
378,668
379,668
380,668
381,668
382,668
383,668
384,668
385,668
386,668
387,668
388,668
389,668
390,668
391,668
392,668
393,668
394,668
395,668
396,668
397,668
398,668
399,668
400,668
