Move,Score
1,4
2,8
3,20
4,24
5,36
6,36
7,40
8,68
9,68
10,68
11,84
12,84
13,88
14,88
15,96
16,96
17,100
18,100
19,116
20,132
21,132
22,132
23,132
24,132
25,180
26,196
27,196
28,200
29,200
30,204
31,208
32,220
33,220
34,224
35,224
36,224
37,228
38,236
39,236
40,236
41,236
42,240
43,252
44,252
45,252
46,256
47,260
48,260
49,260
50,260
51,292
52,348
53,352
54,356
55,364
56,368
57,380
58,380
59,380
60,404
61,420
62,420
63,424
64,424
65,428
66,428
67,432
68,468
69,476
70,476
71,476
72,480
73,484
74,484
75,500
76,516
77,520
78,520
79,520
80,520
81,584
82,584
83,592
84,660
85,660
86,660
87,660
88,660
89,660
90,668
91,668
92,668
93,668
94,680
95,700
96,700
97,708
98,708
99,708
100,708
101,708
102,708
103,808
104,936
105,936
106,936
107,944
108,944
109,944
110,944
111,948
112,956
113,988
114,992
115,992
116,1000
117,1004
118,1024
119,1024
120,1024
121,1024
122,1024
123,1028
124,1036
125,1044
126,1056
127,1064
128,1080
129,1080
130,1080
131,1124
132,1124
133,1124
134,1124
135,1124
136,1124
137,1124
138,1128
139,1136
140,1140
141,1140
142,1140
143,1160
144,1232
145,1268
146,1304
147,1304
148,1308
149,1316
150,1336
151,1344
152,1344
153,1344
154,1344
155,1348
156,1384
157,1384
158,1448
159,1476
160,1476
161,1476
162,1476
163,1476
164,1476
165,1476
166,1488
167,1644
168,1656
169,1692
170,1700
171,1700
172,1704
173,1704
174,1704
175,1704
176,1712
177,1720
178,1720
179,1724
180,1736
181,1760
182,1776
183,1776
184,1776
185,1780
186,1780
187,1780
188,1780
189,1780
190,1792
191,2080
192,2084
193,2084
194,2116
195,2120
196,2124
197,2128
198,2136
199,2152
200,2152
201,2152
202,2152
203,2156
204,2164
205,2168
206,2172
207,2176
208,2184
209,2184
210,2188
211,2192
212,2200
213,2200
214,2200
215,2208
216,2208
217,2216
218,2228
219,2244
220,2244
221,2340
222,2364
223,2364
224,2364
225,2368
226,2368
227,2376
228,2384
229,2384
230,2384
231,2384
232,2392
233,2392
234,2392
235,2396
236,2396
237,2396
238,2400
239,2408
240,2412
241,2412
242,2432
243,2432
244,2432
245,2476
246,2480
247,2484
248,2484
249,2492
250,2512
251,2512
252,2584
253,2584
254,2584
255,2584
256,2584
257,2588
258,2588
259,2588
260,2592
261,2592
262,2604
263,2604
264,2620
265,2624
266,2656
267,2656
268,2656
269,2660
270,2668
271,2672
272,2672
273,2672
274,2672
275,2672
276,2672
277,2672
278,2672
279,2672
280,2672
281,2672
282,2672
283,2672
284,2672
285,2672
286,2672
287,2672
288,2672
289,2672
290,2672
291,2672
292,2672
293,2672
294,2672
295,2672
296,2672
297,2672
298,2672
299,2672
300,2672
301,2672
302,2672
303,2672
304,2672
305,2672
306,2672
307,2672
308,2672
309,2672
310,2672
311,2672
312,2672
313,2672
314,2672
315,2672
316,2672
317,2672
318,2672
319,2672
320,2672
321,2672
322,2672
323,2672
324,2672
325,2672
326,2672
327,2672
328,2672
329,2672
330,2672
331,2672
332,2672
333,2672
334,2672
335,2672
336,2672
337,2672
338,2672
339,2672
340,2672
341,2672
342,2672
343,2672
344,2672
345,2672
346,2672
347,2672
348,2672
349,2672
350,2672
351,2672
352,2672
353,2672
354,2672
355,2672
356,2672
357,2672
358,2672
359,2672
360,2672
361,2672
362,2672
363,2672
364,2672
365,2672
366,2672
367,2672
368,2672
369,2672
370,2672
371,2672
372,2672
373,2672
374,2672
375,2672
376,2672
377,2672
378,2672
379,2672
380,2672
381,2672
382,2672
383,2672
384,2672
385,2672
386,2672
387,2672
388,2672
389,2672
390,2672
391,2672
392,2672
393,2672
394,2672
395,2672
396,2672
397,2672
398,2672
399,2672
400,2672
401,2672
402,2672
403,2672
404,2672
405,2672
406,2672
407,2672
408,2672
409,2672
410,2672
411,2672
412,2672
413,2672
414,2672
415,2672
416,2672
417,2672
418,2672
419,2672
420,2672
421,2672
422,2672
423,2672
424,2672
425,2672
426,2672
427,2672
428,2672
429,2672
430,2672
431,2672
432,2672
433,2672
434,2672
435,2672
436,2672
437,2672
438,2672
439,2672
440,2672
441,2672
442,2672
443,2672
444,2672
445,2672
446,2672
447,2672
448,2672
449,2672
450,2672
451,2672
452,2672
453,2672
454,2672
455,2672
456,2672
457,2672
458,2672
459,2672
460,2672
461,2672
462,2672
463,2672
464,2672
465,2672
466,2672
467,2672
468,2672
469,2672
470,2672
471,2672
472,2672
473,2672
474,2672
475,2672
476,2672
477,2672
478,2672
479,2672
480,2672
481,2672
482,2672
483,2672
484,2672
485,2672
486,2672
487,2672
488,2672
489,2672
490,2672
491,2672
492,2672
493,2672
494,2672
495,2672
496,2672
497,2672
498,2672
499,2672
500,2672
501,2672
502,2672
503,2672
504,2672
505,2672
506,2672
507,2672
508,2672
509,2672
510,2672
511,2672
512,2672
513,2672
514,2672
515,2672
516,2672
517,2672
518,2672
519,2672
520,2672
521,2672
522,2672
523,2672
524,2672
525,2672
526,2672
527,2672
528,2672
529,2672
530,2672
531,2672
532,2672
533,2672
534,2672
535,2672
536,2672
537,2672
538,2672
539,2672
540,2672
541,2672
542,2672
543,2672
544,2672
545,2672
546,2672
547,2672
548,2672
549,2672
550,2672
551,2672
552,2672
553,2672
554,2672
555,2672
556,2672
557,2672
558,2672
559,2672
560,2672
561,2672
562,2672
563,2672
564,2672
565,2672
566,2672
567,2672
568,2672
569,2672
570,2672
571,2672
572,2672
573,2672
574,2672
575,2672
576,2672
577,2672
578,2672
579,2672
580,2672
581,2672
582,2672
583,2672
584,2672
585,2672
586,2672
587,2672
588,2672
589,2672
590,2672
591,2672
592,2672
593,2672
594,2672
595,2672
596,2672
597,2672
598,2672
599,2672
600,2672
601,2672
602,2672
603,2672
604,2672
605,2672
606,2672
607,2672
608,2672
609,2672
610,2672
611,2672
612,2672
613,2672
614,2672
615,2672
616,2672
617,2672
618,2672
619,2672
620,2672
621,2672
622,2672
623,2672
624,2672
625,2672
626,2672
627,2672
628,2672
629,2672
630,2672
631,2672
